2025-11-17 02:51:38 status half-installed liblzma5:amd64 5.4.1-1
2025-11-17 02:51:38 status unpacked liblzma5:amd64 5.4.1-1
2025-11-17 02:51:38 install libmd0:amd64 <none> 1.0.4-2
2025-11-17 02:51:38 status half-installed libmd0:amd64 1.0.4-2
2025-11-17 02:51:38 status unpacked libmd0:amd64 1.0.4-2
2025-11-17 02:51:38 install libmount1:amd64 <none> 2.38.1-5+deb12u3
2025-11-17 02:51:38 status half-installed libmount1:amd64 2.38.1-5+deb12u3
2025-11-17 02:51:38 status unpacked libmount1:amd64 2.38.1-5+deb12u3
2025-11-17 02:51:38 install libnettle8:amd64 <none> 3.8.1-2
2025-11-17 02:51:38 status half-installed libnettle8:amd64 3.8.1-2
2025-11-17 02:51:38 status unpacked libnettle8:amd64 3.8.1-2
2025-11-17 02:51:38 install libp11-kit0:amd64 <none> 0.24.1-2
2025-11-17 02:51:38 status half-installed libp11-kit0:amd64 0.24.1-2
2025-11-17 02:51:38 status unpacked libp11-kit0:amd64 0.24.1-2
2025-11-17 02:51:38 install libpam-modules:amd64 <none> 1.5.2-6+deb12u1
2025-11-17 02:51:38 status half-installed libpam-modules:amd64 1.5.2-6+deb12u1
2025-11-17 02:51:38 status unpacked libpam-modules:amd64 1.5.2-6+deb12u1
2025-11-17 02:51:38 install libpam-modules-bin:amd64 <none> 1.5.2-6+deb12u1
2025-11-17 02:51:38 status half-installed libpam-modules-bin:amd64 1.5.2-6+deb12u1
2025-11-17 02:51:39 status unpacked libpam-modules-bin:amd64 1.5.2-6+deb12u1
2025-11-17 02:51:39 install libpam-runtime:all <none> 1.5.2-6+deb12u1
2025-11-17 02:51:39 status half-installed libpam-runtime:all 1.5.2-6+deb12u1
2025-11-17 02:51:39 status unpacked libpam-runtime:all 1.5.2-6+deb12u1
2025-11-17 02:51:39 install libpam0g:amd64 <none> 1.5.2-6+deb12u1
2025-11-17 02:51:39 status half-installed libpam0g:amd64 1.5.2-6+deb12u1
2025-11-17 02:51:39 status unpacked libpam0g:amd64 1.5.2-6+deb12u1
2025-11-17 02:51:39 install libpcre2-8-0:amd64 <none> 10.42-1
2025-11-17 02:51:39 status half-installed libpcre2-8-0:amd64 10.42-1
2025-11-17 02:51:39 status unpacked libpcre2-8-0:amd64 10.42-1
2025-11-17 02:51:39 install libseccomp2:amd64 <none> 2.5.4-1+deb12u1
2025-11-17 02:51:39 status half-installed libseccomp2:amd64 2.5.4-1+deb12u1
2025-11-17 02:51:39 status unpacked libseccomp2:amd64 2.5.4-1+deb12u1
2025-11-17 02:51:39 install libselinux1:amd64 <none> 3.4-1+b6
2025-11-17 02:51:39 status half-installed libselinux1:amd64 3.4-1+b6
2025-11-17 02:51:39 status unpacked libselinux1:amd64 3.4-1+b6
2025-11-17 02:51:39 install libsemanage-common:all <none> 3.4-1
2025-11-17 02:51:39 status half-installed libsemanage-common:all 3.4-1
2025-11-17 02:51:39 status unpacked libsemanage-common:all 3.4-1
2025-11-17 02:51:40 install libsemanage2:amd64 <none> 3.4-1+b5
2025-11-17 02:51:40 status half-installed libsemanage2:amd64 3.4-1+b5
2025-11-17 02:51:40 status unpacked libsemanage2:amd64 3.4-1+b5
2025-11-17 02:51:40 install libsepol2:amd64 <none> 3.4-2.1
